defects,size,complexity,churn,priordefects,allauthors,minorauthors,majorauthors,authorownership,changeentropy,selfapprovedchanges,rushedreviews,changesnodisc,typicalreviewwindownorm,typicaldisclennorm
0,261,0.2145593873,18,0,2,0,2,0.6666666667,0.9785404388,2,1,2,56.322244489,0.002004008
0,171,0,0,0,0,0,0,0,0,0,0,0,0,0
1,975,0,298,1,2,0,2,0.6,1,1,0,1,1633.3041666667,0.2291666667
0,94,0.159574469,99,0,2,0,2,0.5,1,1,1,1,4.0419303797,0.0007911392
0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
0,245,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57,0,1,0,1,0,1,1,1,1,1,1,4.0419303797,0.0007911392
0,504,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0.2727272793,0,0,0,0,0,0,0,0,0,0,0,0
0,914,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1029,0,19,0,1,0,1,1,0,0,0,0,5360.8210526316,0.0526315789
1,58,0.1724137945,0,0,0,0,0,0,0,0,0,0,0,0
0,732,0,0,0,0,0,0,0,0,0,0,0,0,0
0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7308,0,0,0,0,0,0,0,0,0,0,0,0,0
0,711,0,0,0,0,0,0,0,0,0,0,0,0,0
0,575,0,0,0,0,0,0,0,0,0,0,0,0,0
0,859,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2891,0,0,0,0,0,0,0,0,0,0,0,0,0
0,292,0,0,0,0,0,0,0,0,0,0,0,0,0
1,63,0.1746031759,0,0,0,0,0,0,0,0,0,0,0,0
