size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
72,0.1020408163,0,1058,14,1,1,0,1,1,0,0,0,0.0101857307,28.94815232,4,12,2,2,0,1,1
1574,0.0490381058,41,807,55,0.8835764055,6,1,5,0.4166666667,1,7,19,0,0,5,55,15,0,0,1,0
560,0.099009901,29,356,37,0.6664975009,7,0,7,0.4545454545,0,2,8,0,0,2,50,17,0,0,1,0
1645,0.0478937729,64,1543,75,0.7245633426,6,0,6,0.375,0,2,13,0.0047033568,0,1,51,9,0,1,1.5,0
166,0.112244898,27,897,22,0.9456603046,3,0,3,0.5,0,1,1,0.0441628575,0,3,12,4,2,1,2.5,1
2752,0.0836183866,51,4460,91,0.8393224997,11,4,7,0.2307692308,0,6,15,0.002176276,0,8,50,21,2,2,2,1
348,0.037037037,21,112,14,0.9178114621,5,0,5,0.5,0,5,9,0,0,0,2,5,0,0,1,0
909,0.0838672103,14,242,45,0.856166962,3,0,3,0.5789473684,0,2,19,0,0,0,4,1,0,0,1,0
1605,0.1911764706,47,8188,238,0.8737324218,13,6,7,0.225,0,6,6,0.0007861635,0.5761355695,22,111,30,2,7,2,0
300,0.1911417121,19,376,60,0.9480782436,4,0,4,0.4444444444,0,3,2,0.0178301411,6.5102738575,0,25,10,2,2,6,1
356,0.1081081081,11,1984,53,0.7964211845,4,0,4,0.4444444444,0,2,1,0.0112612613,0.7644413537,3,24,6,1,3,3,1
1490,0.061302682,42,3073,59,0.8968979547,8,0,8,0.2941176471,1,7,10,0.0052816901,0,6,28,20,1,0,1,2
484,0.0487288136,5,6391,127,0.9142828404,5,3,2,0.6551724138,0,10,14,0.0009703032,0,8,42,10,2,1,10.5,0
1804,0.137254902,69,904,28,0.7081170553,4,0,4,0.3333333333,0,2,4,0,0,0,13,5,0,0,1,0
1824,0.1217948718,59,1926,103,0.8617593947,11,5,6,0.5,1,10,20,0.0170454545,0,4,49,12,1,0,2,2
572,0.1428571429,7,666,10,0.8649735207,1,0,1,1,0,1,2,0.0016778523,0,0,4,3,1,0,1,0
831,0.1542819375,10,2499,20,0.4689955936,3,0,3,0.5,0,6,6,0.0633028904,0,0,2,1,1,0,5,0
317,0.1869709161,2,604,22,0.2667649878,2,0,2,0.5,0,1,1,0.0076530612,0,0,0,0,0,0,1,0
274,0.1715328467,15,22,11,0,1,0,1,1,0,0,1,0.3636363636,0,0,7,3,3,0,1,0
431,0.1074829932,8,369,18,0.7023392365,3,0,3,0.5,0,2,2,0.01,0,0,7,3,0,0,1,0
48,0.25,2,192,9,0,2,0,2,0.6666666667,0,2,2,0.0052083333,44.5237847222,0,2,2,2,0,3,0
7336,0.1603773585,249,9266,168,0.8770181005,14,8,6,0.2564102564,0,11,19,0.0088300221,0,14,108,14,1,0,1,3
626,0.1076487252,2,11565,102,0.9960242483,1,0,1,1,0,0,0,0.0053333333,12.5848666667,13,51,2,2,0,2,4
176,0.2636684303,4,72,4,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0
30,0,1,36,4,0,1,0,1,1,0,0,1,0.0833333333,0,0,3,1,1,0,1,0
333,0.1103583916,3,3568,132,0.6846810798,6,0,6,0.4736842105,0,2,3,0.027090587,1.8602349806,7,72,10,2,4,2,1
27050,0.1066137566,1297,25358,1340,0.9085288927,78,76,2,0.2234636872,2,94,194,0.0153067163,0,105,762,141,1,18,1.5,20
33,0.2121212121,1,8,4,0,1,0,1,1,0,0,0,0.375,0,0,4,3,2,0,1,0
220,0.1083333333,12,1064,13,0.9194324238,3,0,3,0.5,0,1,0,0,0,2,4,6,1,0,1,0
219,0.0222247812,8,78,6,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
